shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,status,delay_days
SHP-8245,ORD-5245,UPS Freight,TRK-79323646,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8246,ORD-5246,Apex Logistics,TRK-80368504,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8247,ORD-5247,FedEx Freight,TRK-71263503,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8248,ORD-5248,FedEx Freight,TRK-42472381,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8249,ORD-5249,FedEx Freight,TRK-48261364,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8250,ORD-5250,Apex Logistics,TRK-37746963,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8251,ORD-5251,Apex Logistics,TRK-40033905,2026-09-12,2026-09-15,,In Transit,0
SHP-8252,ORD-5252,Old Dominion,TRK-88448538,2026-09-09,2026-09-12,,In Transit,1
SHP-8253,ORD-5253,FedEx Freight,TRK-74657836,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8254,ORD-5254,FedEx Freight,TRK-98654879,2026-09-11,2026-09-14,,In Transit,1
SHP-8255,ORD-5255,Apex Logistics,TRK-56059101,2026-08-10,2026-08-13,2026-08-21,Delayed,8
SHP-8256,ORD-5256,FedEx Freight,TRK-27172371,2026-09-11,2026-09-14,,In Transit,1
SHP-8257,ORD-5257,Old Dominion,TRK-39974566,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8258,ORD-5258,UPS Freight,TRK-17204398,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8259,ORD-5259,UPS Freight,TRK-65446317,2026-09-11,2026-09-14,,In Transit,1
SHP-8260,ORD-5260,Apex Logistics,TRK-52464268,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8261,ORD-5261,UPS Freight,TRK-46712288,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8262,ORD-5262,UPS Freight,TRK-95025258,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8263,ORD-5263,Apex Logistics,TRK-60076822,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8264,ORD-5264,Apex Logistics,TRK-40368869,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8265,ORD-5265,Old Dominion,TRK-32417070,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8266,ORD-5266,UPS Freight,TRK-27956913,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8267,ORD-5267,Swift Transport,TRK-32680748,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8268,ORD-5268,FedEx Freight,TRK-65938669,2026-09-12,2026-09-15,,In Transit,0
SHP-8269,ORD-5269,UPS Freight,TRK-98807116,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8270,ORD-5270,Old Dominion,TRK-24262473,2026-09-13,2026-09-16,,In Transit,0
SHP-8271,ORD-5271,UPS Freight,TRK-49641367,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8272,ORD-5272,UPS Freight,TRK-30017834,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8273,ORD-5273,Apex Logistics,TRK-71304112,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8274,ORD-5274,FedEx Freight,TRK-48999266,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8275,ORD-5275,FedEx Freight,TRK-28574987,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8276,ORD-5276,Apex Logistics,TRK-63791447,2026-09-12,2026-09-15,,In Transit,0
SHP-8277,ORD-5277,FedEx Freight,TRK-65838294,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8278,ORD-5278,UPS Freight,TRK-25158211,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8279,ORD-5279,Old Dominion,TRK-11658959,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8280,ORD-5280,Swift Transport,TRK-22783183,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8281,ORD-5281,Swift Transport,TRK-76549837,2026-09-13,2026-09-16,,In Transit,1
SHP-8282,ORD-5282,UPS Freight,TRK-64126921,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8283,ORD-5283,UPS Freight,TRK-65343143,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8284,ORD-5284,Swift Transport,TRK-95568918,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8285,ORD-5285,Apex Logistics,TRK-70996586,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8286,ORD-5286,Old Dominion,TRK-57665946,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8287,ORD-5287,FedEx Freight,TRK-91987136,2026-09-11,2026-09-14,,In Transit,1
SHP-8288,ORD-5288,Swift Transport,TRK-26538199,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8289,ORD-5289,FedEx Freight,TRK-84252780,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8290,ORD-5290,Swift Transport,TRK-91357521,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8291,ORD-5291,Apex Logistics,TRK-28546206,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8292,ORD-5292,Swift Transport,TRK-56344519,2026-09-09,2026-09-12,,In Transit,1
SHP-8293,ORD-5293,FedEx Freight,TRK-57276557,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8294,ORD-5294,Apex Logistics,TRK-17122263,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8295,ORD-5295,Old Dominion,TRK-37380537,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8296,ORD-5296,Old Dominion,TRK-99186817,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8297,ORD-5297,Apex Logistics,TRK-95065651,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8298,ORD-5298,Apex Logistics,TRK-78967357,2026-09-12,2026-09-15,,In Transit,0
SHP-8299,ORD-5299,Old Dominion,TRK-72589932,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8300,ORD-5300,Swift Transport,TRK-98837400,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8301,ORD-5301,Swift Transport,TRK-19150490,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8302,ORD-5302,Old Dominion,TRK-54434998,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8303,ORD-5303,Swift Transport,TRK-93366885,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8304,ORD-5304,Old Dominion,TRK-13315946,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8305,ORD-5305,Apex Logistics,TRK-94145533,2026-09-03,2026-09-06,2026-09-11,Delayed,5
SHP-8306,ORD-5306,UPS Freight,TRK-96779969,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8307,ORD-5307,FedEx Freight,TRK-19831184,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8308,ORD-5308,Old Dominion,TRK-64711545,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8309,ORD-5309,Swift Transport,TRK-18487605,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8310,ORD-5310,FedEx Freight,TRK-48901209,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8311,ORD-5311,UPS Freight,TRK-63031203,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8312,ORD-5312,Old Dominion,TRK-11496555,2026-09-13,2026-09-16,,In Transit,1
SHP-8313,ORD-5313,Swift Transport,TRK-90081663,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8314,ORD-5314,Old Dominion,TRK-38418851,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8315,ORD-5315,Apex Logistics,TRK-34341456,2026-09-12,2026-09-15,,In Transit,0
SHP-8316,ORD-5316,Swift Transport,TRK-75389589,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8317,ORD-5317,Apex Logistics,TRK-52652506,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8318,ORD-5318,UPS Freight,TRK-32634412,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8319,ORD-5319,Old Dominion,TRK-74418331,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8320,ORD-5320,Old Dominion,TRK-28790705,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8321,ORD-5321,FedEx Freight,TRK-88100019,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8322,ORD-5322,Swift Transport,TRK-73364719,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8323,ORD-5323,UPS Freight,TRK-58837208,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8324,ORD-5324,Apex Logistics,TRK-86015183,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8325,ORD-5325,FedEx Freight,TRK-79509378,2026-09-13,2026-09-16,,In Transit,0
SHP-8326,ORD-5326,Old Dominion,TRK-45341684,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8327,ORD-5327,Swift Transport,TRK-97689346,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8328,ORD-5328,UPS Freight,TRK-74707720,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8329,ORD-5329,Old Dominion,TRK-38389345,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8330,ORD-5330,Old Dominion,TRK-25212062,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8331,ORD-5331,Apex Logistics,TRK-15790734,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8332,ORD-5332,Swift Transport,TRK-29711900,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8333,ORD-5333,FedEx Freight,TRK-98817918,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8334,ORD-5334,Swift Transport,TRK-98536556,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8335,ORD-5335,UPS Freight,TRK-27745355,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8336,ORD-5336,Swift Transport,TRK-77555702,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8337,ORD-5337,FedEx Freight,TRK-81110769,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8338,ORD-5338,Old Dominion,TRK-74040812,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8339,ORD-5339,FedEx Freight,TRK-87576121,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8340,ORD-5340,Apex Logistics,TRK-52399610,2026-08-09,2026-08-12,2026-08-20,Delayed,8
SHP-8341,ORD-5341,Old Dominion,TRK-63345392,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8342,ORD-5342,Old Dominion,TRK-51158280,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8343,ORD-5343,Apex Logistics,TRK-23459168,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8344,ORD-5344,FedEx Freight,TRK-22225702,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8345,ORD-5345,UPS Freight,TRK-63773642,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8346,ORD-5346,Apex Logistics,TRK-90465529,2026-09-09,2026-09-12,,In Transit,0
SHP-8347,ORD-5347,FedEx Freight,TRK-31131878,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8348,ORD-5348,FedEx Freight,TRK-22101856,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8349,ORD-5349,UPS Freight,TRK-87162674,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8350,ORD-5350,Swift Transport,TRK-44587020,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8351,ORD-5351,UPS Freight,TRK-71836850,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8352,ORD-5352,UPS Freight,TRK-57391778,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8353,ORD-5353,Swift Transport,TRK-33955951,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8354,ORD-5354,Apex Logistics,TRK-76974557,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8355,ORD-5355,Apex Logistics,TRK-93026670,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8356,ORD-5356,FedEx Freight,TRK-82675403,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8357,ORD-5357,FedEx Freight,TRK-74199033,2026-09-10,2026-09-13,,In Transit,1
SHP-8358,ORD-5358,Swift Transport,TRK-71749629,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8359,ORD-5359,Old Dominion,TRK-92245683,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8360,ORD-5360,UPS Freight,TRK-38257191,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8361,ORD-5361,Old Dominion,TRK-41649234,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8362,ORD-5362,FedEx Freight,TRK-33703827,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8363,ORD-5363,UPS Freight,TRK-23284172,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8364,ORD-5364,Old Dominion,TRK-44865621,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8365,ORD-5365,Swift Transport,TRK-36703705,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8366,ORD-5366,Swift Transport,TRK-75430302,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8367,ORD-5367,Swift Transport,TRK-86723896,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8368,ORD-5368,Old Dominion,TRK-45899536,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8369,ORD-5369,Old Dominion,TRK-20746107,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8370,ORD-5370,UPS Freight,TRK-83609531,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8371,ORD-5371,Swift Transport,TRK-30840572,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8372,ORD-5372,FedEx Freight,TRK-99060057,2026-09-12,2026-09-15,,In Transit,0
SHP-8373,ORD-5373,Swift Transport,TRK-90206393,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8374,ORD-5374,UPS Freight,TRK-59094606,2026-09-11,2026-09-14,,In Transit,1
SHP-8375,ORD-5375,UPS Freight,TRK-81819757,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8376,ORD-5376,Swift Transport,TRK-60149632,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8377,ORD-5377,FedEx Freight,TRK-66672010,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8378,ORD-5378,FedEx Freight,TRK-34482277,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8379,ORD-5379,FedEx Freight,TRK-30421134,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8380,ORD-5380,UPS Freight,TRK-11101134,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8381,ORD-5381,Old Dominion,TRK-66404064,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8382,ORD-5382,Swift Transport,TRK-73102032,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8383,ORD-5383,UPS Freight,TRK-22611138,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8384,ORD-5384,FedEx Freight,TRK-43999060,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8385,ORD-5385,UPS Freight,TRK-12022353,2026-09-11,2026-09-14,,In Transit,1
SHP-8386,ORD-5386,FedEx Freight,TRK-15636254,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8387,ORD-5387,UPS Freight,TRK-22267708,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8388,ORD-5388,Swift Transport,TRK-26888275,2026-09-10,2026-09-13,,In Transit,0
SHP-8389,ORD-5389,Apex Logistics,TRK-43647879,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8390,ORD-5390,Swift Transport,TRK-56662763,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8391,ORD-5391,Old Dominion,TRK-45346140,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8392,ORD-5392,Apex Logistics,TRK-12512536,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8393,ORD-5393,Swift Transport,TRK-62008140,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8394,ORD-5394,FedEx Freight,TRK-80222787,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8395,ORD-5395,UPS Freight,TRK-35718350,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8396,ORD-5396,FedEx Freight,TRK-98013189,2026-09-12,2026-09-15,,In Transit,0
SHP-8397,ORD-5397,UPS Freight,TRK-59535555,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8398,ORD-5398,Apex Logistics,TRK-79724133,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8399,ORD-5399,Swift Transport,TRK-65725133,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8400,ORD-5400,Apex Logistics,TRK-81658908,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8401,ORD-5401,Old Dominion,TRK-91659860,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8402,ORD-5402,UPS Freight,TRK-70062404,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8403,ORD-5403,Old Dominion,TRK-39781129,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8404,ORD-5404,Apex Logistics,TRK-28576833,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8405,ORD-5405,Swift Transport,TRK-63660012,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8406,ORD-5406,Swift Transport,TRK-96201956,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8407,ORD-5407,Swift Transport,TRK-11534696,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8408,ORD-5408,Apex Logistics,TRK-30561818,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8409,ORD-5409,Old Dominion,TRK-62925057,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8410,ORD-5410,FedEx Freight,TRK-83571770,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8411,ORD-5411,Swift Transport,TRK-36320002,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8412,ORD-5412,Swift Transport,TRK-25103503,2026-09-10,2026-09-13,,In Transit,0
SHP-8413,ORD-5413,FedEx Freight,TRK-50912093,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8414,ORD-5414,FedEx Freight,TRK-25082279,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8415,ORD-5415,FedEx Freight,TRK-50952251,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8416,ORD-5416,Swift Transport,TRK-74830696,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8417,ORD-5417,Swift Transport,TRK-15836056,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8418,ORD-5418,Old Dominion,TRK-98983888,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8419,ORD-5419,Apex Logistics,TRK-78255127,2026-09-13,2026-09-16,,In Transit,1
SHP-8420,ORD-5420,FedEx Freight,TRK-15335477,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8421,ORD-5421,Old Dominion,TRK-57698045,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8422,ORD-5422,Old Dominion,TRK-40277197,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8423,ORD-5423,Swift Transport,TRK-93956490,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8424,ORD-5424,Swift Transport,TRK-54195849,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8425,ORD-5425,Apex Logistics,TRK-28536762,2026-09-05,2026-09-08,2026-09-16,Delayed,8
SHP-8426,ORD-5426,FedEx Freight,TRK-34714210,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8427,ORD-5427,Apex Logistics,TRK-24330619,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8428,ORD-5428,FedEx Freight,TRK-20667011,2026-09-10,2026-09-13,,In Transit,1
SHP-8429,ORD-5429,Apex Logistics,TRK-14325777,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8430,ORD-5430,UPS Freight,TRK-53606752,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8431,ORD-5431,FedEx Freight,TRK-79880338,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8432,ORD-5432,Swift Transport,TRK-63098035,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8433,ORD-5433,Old Dominion,TRK-71920968,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8434,ORD-5434,Apex Logistics,TRK-62756521,2026-09-10,2026-09-13,,In Transit,0
SHP-8435,ORD-5435,Swift Transport,TRK-37102854,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8436,ORD-5436,FedEx Freight,TRK-70317234,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8437,ORD-5437,Old Dominion,TRK-85898994,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8438,ORD-5438,Old Dominion,TRK-48759467,2026-09-13,2026-09-16,,In Transit,1
SHP-8439,ORD-5439,FedEx Freight,TRK-71557975,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8440,ORD-5440,FedEx Freight,TRK-90693921,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8441,ORD-5441,Old Dominion,TRK-14928616,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8442,ORD-5442,Apex Logistics,TRK-48168910,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8443,ORD-5443,FedEx Freight,TRK-67354434,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8444,ORD-5444,Swift Transport,TRK-65533646,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8445,ORD-5445,Swift Transport,TRK-21766833,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8446,ORD-5446,Swift Transport,TRK-76102828,2026-09-09,2026-09-12,,In Transit,1
SHP-8447,ORD-5447,FedEx Freight,TRK-72395893,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8448,ORD-5448,Apex Logistics,TRK-47799296,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8449,ORD-5449,Old Dominion,TRK-55816776,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8450,ORD-5450,UPS Freight,TRK-96657974,2026-09-10,2026-09-13,,In Transit,0
SHP-8451,ORD-5451,Old Dominion,TRK-84514623,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8452,ORD-5452,UPS Freight,TRK-94088862,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8453,ORD-5453,FedEx Freight,TRK-65548633,2026-09-09,2026-09-12,,In Transit,1
SHP-8454,ORD-5454,FedEx Freight,TRK-60226379,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8455,ORD-5455,FedEx Freight,TRK-74781956,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8456,ORD-5456,FedEx Freight,TRK-71655384,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8457,ORD-5457,Swift Transport,TRK-21687128,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8458,ORD-5458,Old Dominion,TRK-13017249,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8459,ORD-5459,Old Dominion,TRK-81440849,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8460,ORD-5460,Apex Logistics,TRK-46726921,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8461,ORD-5461,Old Dominion,TRK-83734610,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8462,ORD-5462,Old Dominion,TRK-82555030,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8463,ORD-5463,FedEx Freight,TRK-24217270,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8464,ORD-5464,Old Dominion,TRK-51935074,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8465,ORD-5465,Apex Logistics,TRK-22470997,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8466,ORD-5466,Apex Logistics,TRK-99279031,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8467,ORD-5467,Old Dominion,TRK-56790372,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8468,ORD-5468,FedEx Freight,TRK-53737494,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8469,ORD-5469,Swift Transport,TRK-74743230,2026-09-12,2026-09-15,,In Transit,0
SHP-8470,ORD-5470,Old Dominion,TRK-83085160,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8471,ORD-5471,Old Dominion,TRK-19342578,2026-09-13,2026-09-16,,In Transit,1
SHP-8472,ORD-5472,FedEx Freight,TRK-29693143,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8473,ORD-5473,Old Dominion,TRK-21983952,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8474,ORD-5474,Swift Transport,TRK-58216998,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8475,ORD-5475,Swift Transport,TRK-38348941,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8476,ORD-5476,FedEx Freight,TRK-29326800,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8477,ORD-5477,Swift Transport,TRK-34131995,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8478,ORD-5478,Apex Logistics,TRK-77340900,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8479,ORD-5479,Swift Transport,TRK-74630252,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8480,ORD-5480,Apex Logistics,TRK-73411376,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8481,ORD-5481,Swift Transport,TRK-56109986,2026-09-13,2026-09-16,,In Transit,0
SHP-8482,ORD-5482,Old Dominion,TRK-32482565,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8483,ORD-5483,Old Dominion,TRK-48495745,2026-09-09,2026-09-12,,In Transit,0
SHP-8484,ORD-5484,Apex Logistics,TRK-92650976,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8485,ORD-5485,Swift Transport,TRK-30285078,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8486,ORD-5486,Apex Logistics,TRK-80784933,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8487,ORD-5487,Apex Logistics,TRK-76565050,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8488,ORD-5488,FedEx Freight,TRK-32494944,2026-09-13,2026-09-16,,In Transit,0
SHP-8489,ORD-5489,UPS Freight,TRK-73698335,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8490,ORD-5490,Swift Transport,TRK-95553621,2026-08-11,2026-08-14,2026-08-14,Delivered,0
